nBlocks,nPracticeTrials,InterauralTonePhase,MAX_TRIALS,InitialDescentMinimum,dBSPL,StartMessage,
0,1,3.14,5,-12,80,Let's practice first! This will be fairly loud.,
0,1,3.14,5,-12,40,Let's practice first! This will be rather quiet.,
1,0,0,30,-5,80,This will be fairly loud,
1,0,3.14,30,-12,80,This will be fairly loud,
1,0,0,30,-5,40,This will be rather quiet,
1,0,3.14,30,-12,40,This will be rather quiet,
1,0,3.14,30,-12,80,This will be fairly loud,
1,0,3.14,30,-12,40,This will be rather quiet,
1,0,0,30,-5,80,This will be fairly loud,
1,0,0,30,-5,40,This will be rather quiet,
